frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.02,2.01,0.00,1.00,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751997419.82,0,0.119,0.023,0.033,1.003
18,0.014,0.012,0.013,0.014,0.012,0.013,0.122,43,56,51,0.00,0.00,0.00,6.93,none,0,0,0,0.00,-0.00,-0.82,-0.00,0.53,1751997419.83,150,0.111,0.024,0.032,0.144
19,3.042,2.420,2.645,3.028,2.407,2.632,78.448,45,57,48,0.00,0.00,0.00,6.17,none,0,0,0,0.01,-0.00,-0.69,-0.00,1.20,1751997419.98,150,0.097,0.028,0.031,0.162
20,4.042,3.546,4.135,0.999,1.126,1.490,56.689,32,65,53,0.00,0.00,0.00,6.07,none,0,0,0,0.06,-0.00,-0.50,-0.00,1.18,1751997420.14,150,0.109,0.025,0.030,0.165
21,4.282,3.825,4.448,0.241,0.279,0.313,32.991,35,63,42,0.00,0.00,0.00,6.35,none,0,0,0,0.15,-0.00,-0.35,-0.00,1.12,1751997420.30,140,0.096,0.024,0.033,0.157
22,4.356,3.615,4.485,0.074,-0.210,0.036,11.009,53,59,38,0.00,0.00,0.00,6.25,none,0,0,0,0.28,-0.00,-0.23,-0.00,1.17,1751997420.46,150,0.101,0.024,0.030,0.160
23,4.365,3.388,4.510,0.009,-0.227,0.026,20.278,52,55,43,0.00,0.00,0.00,5.88,none,0,0,0,0.46,-0.00,-0.14,-0.00,1.27,1751997420.62,150,0.102,0.027,0.038,0.170
24,4.676,3.391,4.802,0.311,0.004,0.291,24.225,52,51,47,0.00,0.00,0.00,5.71,none,0,0,0,0.66,-0.00,-0.08,-0.00,1.39,1751997420.79,150,0.097,0.030,0.042,0.175
25,5.027,3.474,5.140,0.351,0.083,0.339,31.456,53,46,51,11.97,4.24,0.00,6.28,none,0,0,1,0.88,-0.00,-0.03,-0.00,1.49,1751997420.97,150,0.102,0.026,0.029,0.159
26,5.354,3.556,5.503,0.327,0.082,0.363,33.786,55,41,54,12.39,4.39,0.00,5.49,none,0,0,1,1.15,-0.00,-0.00,-0.00,1.60,1751997421.13,150,0.121,0.025,0.033,0.182
27,6.106,4.165,6.420,0.752,0.609,0.917,38.081,61,31,58,12.71,4.52,0.00,5.62,none,0,0,1,1.42,-0.00,0.02,-0.00,1.68,1751997421.31,150,0.113,0.026,0.033,0.178
28,6.865,4.801,7.379,0.759,0.637,0.959,40.811,69,18,58,12.95,4.61,0.00,6.38,none,0,0,1,1.68,-0.00,0.03,-0.00,1.74,1751997421.49,145,0.106,0.025,0.028,0.157
29,6.707,4.770,7.472,-0.159,-0.032,0.093,48.006,72,5,71,13.14,4.68,0.00,6.27,none,0,0,1,1.94,0.00,0.03,-0.00,1.79,1751997421.64,148,0.097,0.024,0.035,0.160
30,6.705,4.935,7.310,-0.002,0.165,-0.162,29.278,80,2,68,13.32,4.75,0.00,5.10,none,0,0,1,2.27,0.00,0.04,-0.00,1.83,1751997421.80,150,0.131,0.031,0.031,0.196
31,6.989,5.564,7.545,0.284,0.629,0.235,27.470,75,2,73,13.05,4.64,0.00,5.27,resume_reinforce,0,0,1,2.59,0.00,0.03,-0.00,1.76,1751997422.00,150,0.122,0.030,0.034,0.190
32,7.323,6.105,7.895,0.334,0.541,0.350,27.301,74,2,74,12.47,4.43,0.00,5.34,none,0,0,1,2.89,0.00,0.01,-0.00,1.62,1751997422.19,150,0.129,0.027,0.031,0.187
33,7.775,8.326,8.394,0.452,2.221,0.500,40.495,72,2,76,12.49,4.43,0.00,5.70,none,0,0,1,3.16,0.00,0.00,-0.00,1.62,1751997422.38,150,0.109,0.029,0.029,0.175
